,open,high,low,close,volume,amount
2026-07-15 09:30:00,11.623112,11.72472,10.774299,10.990597,72188.32,894373.3
2026-07-15 09:35:00,10.638365,10.710717,10.308777,10.453385,62390.71,705297.75
2026-07-15 09:40:00,10.3007145,10.533443,10.159176,10.396296,60704.816,659973.06
2026-07-15 09:45:00,10.248924,10.498923,10.108734,10.376434,60099.617,660902.1
2026-07-15 09:50:00,10.15051,10.37826,9.62687,10.358114,56311.055,591842.5
2026-07-15 09:55:00,9.622405,10.1741705,9.17221,10.029391,56485.348,593058.5
2026-07-15 10:00:00,9.813365,10.122441,9.315947,9.927359,54503.848,559549.7
2026-07-15 10:05:00,9.88125,9.993991,9.7317505,9.848296,59273.156,644811.9
2026-07-15 10:10:00,9.278266,10.093253,8.930371,9.925209,56960.973,601630.8
2026-07-15 10:15:00,9.898615,10.052615,9.640265,9.725004,56395.9,594429.2
2026-07-15 10:20:00,9.516438,9.886338,9.182949,9.788,56446.89,592585.5
2026-07-15 10:25:00,9.154958,9.792131,8.442453,9.794427,59597.28,646233.4
2026-07-15 10:30:00,9.613687,9.870532,9.423112,9.536733,56201.86,590513.3
2026-07-15 10:35:00,9.341564,9.731959,9.324139,9.639742,54382.24,555234.2
2026-07-15 10:40:00,9.273255,9.711877,9.118271,9.505241,56635.465,595970.75
2026-07-15 10:45:00,9.544626,9.57636,9.081084,9.217098,55131.824,568828.7
2026-07-15 10:50:00,9.053492,9.347692,8.492633,9.124637,55626.086,574959.9
2026-07-15 10:55:00,9.135115,9.320058,8.958902,9.116923,55602.7,577235.0
2026-07-15 11:00:00,8.964562,9.268099,8.878773,9.0477295,57233.19,595646.4
2026-07-15 11:05:00,9.152752,9.40835,8.956117,9.110698,56222.746,586900.8
2026-07-15 11:10:00,9.066134,9.215405,8.585114,9.110484,56002.953,580367.9
2026-07-15 11:15:00,8.910329,9.154915,8.70425,8.903761,58653.977,613776.06
2026-07-15 11:20:00,9.0814,9.122319,8.963429,8.94153,55124.977,567600.1
2026-07-15 11:25:00,8.750158,9.219107,8.490334,8.9632635,55702.65,571466.44
2026-07-15 13:00:00,8.865585,8.938387,8.597885,8.7538805,53607.68,542496.3
2026-07-15 13:05:00,8.723632,8.738222,8.537487,8.57057,52644.594,522974.97
2026-07-15 13:10:00,8.587164,8.750242,8.563456,8.716888,52779.99,524641.3
2026-07-15 13:15:00,8.62794,8.687677,8.552797,8.603732,52734.633,524053.6
2026-07-15 13:20:00,8.659925,8.764542,8.630808,8.728848,52292.184,516508.6
2026-07-15 13:25:00,8.774453,8.890207,8.675393,8.898824,51344.504,499718.38
2026-07-15 13:30:00,8.864208,8.975527,8.796591,8.8211565,52464.203,520107.7
2026-07-15 13:35:00,8.889479,9.019028,8.652818,8.917823,50083.59,476600.88
2026-07-15 13:40:00,8.9634285,8.991668,8.883068,8.91196,51039.13,494172.06
2026-07-15 13:45:00,8.995238,8.994409,8.798179,8.774932,49600.355,467878.47
2026-07-15 13:50:00,8.799365,8.930179,8.700653,8.649919,51280.89,499949.97
2026-07-15 13:55:00,8.71821,8.845227,8.643607,8.761033,53208.953,529709.3
2026-07-15 14:00:00,8.763698,8.719223,8.569427,8.622405,53764.996,539898.56
2026-07-15 14:05:00,8.665556,8.733376,8.518206,8.623023,51683.344,503579.7
2026-07-15 14:10:00,8.605313,8.780744,8.500411,8.461163,53333.773,533947.2
2026-07-15 14:15:00,8.452886,8.582412,8.295609,8.407356,52543.09,519414.4
2026-07-15 14:20:00,8.491272,8.639827,8.439498,8.58791,50287.215,478695.72
2026-07-15 14:25:00,8.655716,8.689791,8.437426,8.370374,51308.773,500511.38
2026-07-15 14:30:00,8.41298,8.471054,8.370801,8.416595,50992.58,493535.72
2026-07-15 14:35:00,8.45744,8.559415,8.045127,8.345262,53312.367,530984.06
2026-07-15 14:40:00,8.237783,8.456736,8.0510235,8.187873,53723.266,528132.0
2026-07-15 14:45:00,8.247013,8.378228,8.080771,8.364718,54577.22,553768.3
2026-07-15 14:50:00,8.367209,8.48409,8.30372,8.486044,50769.805,487035.5
2026-07-15 14:55:00,8.434005,8.635157,8.036032,8.482418,57259.688,597971.5
2026-07-16 09:30:00,8.434414,8.887887,8.321705,8.819853,56476.96,586039.06
2026-07-16 09:35:00,8.812436,8.848408,8.398331,8.633029,56560.676,590336.2
2026-07-16 09:40:00,8.649055,8.839304,8.472288,8.603585,53459.258,535293.56
2026-07-16 09:45:00,8.655957,8.760048,8.441584,8.700772,50646.496,487515.44
2026-07-16 09:50:00,8.678954,8.7646475,8.573649,8.747417,53225.89,532484.6
2026-07-16 09:55:00,8.452817,8.761344,8.157054,8.546154,54466.617,553391.1
2026-07-16 10:00:00,8.459079,8.59364,8.300415,8.322479,51026.84,493623.7
2026-07-16 10:05:00,8.42797,8.630162,8.182166,8.54642,54112.87,544629.5
2026-07-16 10:10:00,8.502607,8.64644,8.380857,8.609381,54239.113,550274.75
2026-07-16 10:15:00,8.23755,8.662669,7.9526668,8.485919,55194.38,566605.2
2026-07-16 10:20:00,8.486675,8.518461,8.45015,8.4660845,48948.066,458365.75
2026-07-16 10:25:00,8.571247,8.590104,8.427337,8.423063,51941.543,508050.2
2026-07-16 10:30:00,8.404785,8.615599,8.234392,8.320522,54222.53,547594.3
2026-07-16 10:35:00,8.351719,8.567921,8.326153,8.503642,50483.938,483975.97
2026-07-16 10:40:00,8.507341,8.533405,8.355779,8.437189,50723.53,489264.4
2026-07-16 10:45:00,8.401611,8.4887295,8.357899,8.467629,48728.9,452912.0
2026-07-16 10:50:00,8.476282,8.506826,8.360079,8.445053,48947.957,458142.88
2026-07-16 10:55:00,8.461334,8.499122,8.319666,8.415544,51066.992,494572.66
2026-07-16 11:00:00,8.340621,8.3030205,8.238756,8.206123,48820.844,454870.53
2026-07-16 11:05:00,8.2082405,8.353426,8.1367,8.156378,51876.637,507572.34
2026-07-16 11:10:00,8.084919,8.258321,7.8178406,8.229569,51374.887,499031.16
2026-07-16 11:15:00,8.066209,8.530718,7.8570957,8.221999,52245.906,514904.25
2026-07-16 11:20:00,8.260248,8.26087,7.8836412,8.052998,48209.17,446199.0
2026-07-16 11:25:00,8.07324,8.181662,8.043631,8.16789,48842.688,454869.72
2026-07-16 13:00:00,8.240913,8.341134,8.166639,8.168078,50128.74,478652.28
2026-07-16 13:05:00,8.195124,8.250472,8.123593,8.212235,50728.51,488357.06
2026-07-16 13:10:00,8.278363,8.361094,8.1466,8.273899,49369.527,464320.88
2026-07-16 13:15:00,8.340988,8.354092,8.309726,8.315083,48574.05,451134.9
2026-07-16 13:20:00,8.3315735,8.479642,8.250098,8.305708,51845.24,507202.8
2026-07-16 13:25:00,8.299765,8.291599,8.249674,8.238934,47604.297,435956.2
2026-07-16 13:30:00,8.278879,8.344122,8.020829,8.19382,53496.53,532732.1
2026-07-16 13:35:00,8.182294,8.297957,8.133101,8.132612,53194.15,529674.44
2026-07-16 13:40:00,8.192144,8.249042,8.213776,8.266354,49064.863,458351.5
2026-07-16 13:45:00,8.21716,8.415459,8.135086,8.294623,53911.953,542876.3
2026-07-16 13:50:00,8.428528,8.537835,8.335545,8.42879,49340.32,463537.28
2026-07-16 13:55:00,8.428549,8.661304,8.339298,8.362239,54006.164,545480.56
2026-07-16 14:00:00,8.448566,8.5056,8.395435,8.472088,49231.51,461929.44
2026-07-16 14:05:00,8.536555,8.5701,8.439787,8.45792,50868.98,490778.53
2026-07-16 14:10:00,8.392773,8.561117,8.3574095,8.540751,52935.188,526674.2
2026-07-16 14:15:00,8.278891,8.641121,7.9966025,8.633219,53164.98,532884.4
2026-07-16 14:20:00,8.564215,8.583129,8.446447,8.469738,49844.906,474240.44
2026-07-16 14:25:00,8.472842,8.494563,8.421141,8.46645,49378.87,464972.75
2026-07-16 14:30:00,8.429757,8.51737,8.36448,8.560819,48852.55,455458.16
2026-07-16 14:35:00,8.649634,8.641473,8.581451,8.5671425,50332.45,478710.38
2026-07-16 14:40:00,8.450916,8.6423235,8.441061,8.68255,50805.195,489333.6
2026-07-16 14:45:00,8.561465,8.72294,8.25519,8.687107,52682.67,522669.22
2026-07-16 14:50:00,8.655826,8.705568,8.540404,8.539725,51289.086,498115.2
2026-07-16 14:55:00,8.495281,8.540991,8.394585,8.507111,51067.54,493556.12
