日期,开盘价,最高价,最低价,收盘价,涨跌幅%
周一,13.686409,13.900928,13.686409,13.889704,1.4853768981993198
周二,13.905656,18.68719,13.905656,18.681486,34.34451520442963
周三,18.651056,18.787,18.511915,18.511915,-0.7460225373506546
周四,18.558786,18.558786,18.137386,18.137386,-2.2706229239702225
周五,18.183987,18.261341,17.946247,18.000254,-1.0104109533131123
